#16-5				
#p	q	astrain	rstrain1	rstrain2
8022.7073	56.5179	0	0	0
8060.084667	171.206	2.2041E-05	0	0
8075.272667	214.214	4.8649E-05	-2.0255E-05	0
8075.272667	214.214	4.8649E-05	0	0
8083.464	257.214	4.5915E-05	-1.9986E-05	2.68E-07
8093.021333	285.886	7.3424E-05	-1.9986E-05	2.68E-07
8099.166	285.894	7.3424E-05	-2.0255E-05	0
8102.578667	314.558	7.159E-05	-1.9986E-05	2.68E-07
8107.357333	328.894	0.000100033	-1.9986E-05	2.68E-07
8131.764667	386.246	0.000125742	-2.0255E-05	-2.0457E-05
8141.322	414.918	0.000123908	-2.0255E-05	-2.0457E-05
8136.029333	414.91	0.000123908	-1.9986E-05	-2.0121E-05
8141.66	429.246	0.000123008	-4.0241E-05	-2.0121E-05
8151.731333	443.59	0.000151417	-2.0255E-05	-2.0457E-05
8169.994	500.934	0.000147783	-0.000040577	-2.0457E-05
8165.553333	500.926	0.000177126	-1.9986E-05	-2.0121E-05
8174.772667	515.27	0.000176225	-2.0255E-05	-2.0457E-05
8184.668	558.27	0.000173491	-4.0241E-05	-2.0121E-05
8179.037333	543.934	0.000203735	-4.0241E-05	-2.0121E-05
8179.037333	543.934	0.000203735	-1.9986E-05	-2.0121E-05
8202.930667	615.614	0.000228509	-4.0241E-05	-2.0121E-05
8208.561333	629.95	0.000227609	-4.0241E-05	-2.0121E-05
8222.045333	672.958	0.000254218	-4.0241E-05	-4.051E-05
8213.34	644.286	0.000256052	-4.0241E-05	-2.0121E-05
8207.709333	629.95	0.000256952	-4.0241E-05	-2.0121E-05
8232.117	687.303	0.000253284	-0.000040577	-4.0846E-05
8232.969	687.303	0.000253284	-0.000040577	-4.0846E-05
8246.453	730.311	0.000279893	-6.0831E-05	-4.0846E-05
8242.526333	715.975	0.000280827	-0.000040577	-4.0846E-05
8246.453	730.311	0.00030927	-0.000040577	-4.0846E-05
8270.346333	801.991	0.000334045	-0.000040577	-4.0846E-05
8255.496	773.31	0.000306502	-4.0241E-05	-4.051E-05
8275.463	830.655	0.000332211	-4.0241E-05	-4.051E-05
8265.905333	801.982	0.000334045	-4.0241E-05	-4.051E-05
8295.091667	873.671	0.00035882	-6.0831E-05	-6.1235E-05
8288.947	873.663	0.00035882	-6.0563E-05	-4.051E-05
8293.725667	887.999	0.000387262	-6.0563E-05	-4.051E-05
8288.947	873.663	0.000388163	-6.0563E-05	-4.051E-05
8299.356333	902.335	0.000386329	-6.0563E-05	-4.051E-05
8314.206333	931.015	0.000413871	-6.0831E-05	-4.0846E-05
8312.840333	945.343	0.000412938	-6.0563E-05	-6.0899E-05
8312.840333	945.343	0.000412938	-6.0563E-05	-4.051E-05
8312.840333	945.343	0.000442314	-6.0563E-05	-4.051E-05
8342.027333	1017.034	0.000467089	-6.0831E-05	-4.0846E-05
8336.734	1017.024	0.000467089	-6.0563E-05	-6.0899E-05
8352.436	1045.704	0.000465255	-6.0831E-05	-6.1235E-05
8347.142667	1045.694	0.000465255	-8.0818E-05	-6.0899E-05
8351.070667	1060.034	0.000493698	-8.0818E-05	-6.0899E-05
8370.184	1117.374	0.00049003	-8.0818E-05	-6.0899E-05
8371.549333	1103.044	0.000520307	-8.1153E-05	-6.1235E-05
8365.404	1103.034	0.000520307	-8.0818E-05	-6.0899E-05
8380.592667	1146.044	0.000517572	-8.0818E-05	-6.0899E-05
8389.297333	1174.714	0.000545082	-8.0818E-05	-6.0899E-05
8390.149333	1174.714	0.000515739	-8.0818E-05	-6.0899E-05
8400.222667	1189.064	0.000544181	-8.1153E-05	-6.1235E-05
8398.857333	1203.394	0.000572591	-8.0818E-05	-6.0899E-05
8413.707333	1232.074	0.00057079	-8.1153E-05	-6.1235E-05
8414.559333	1232.074	0.00057079	-8.1153E-05	-6.1235E-05
8413.194	1246.404	0.000569857	-8.0818E-05	-6.0899E-05
8427.527333	1289.404	0.000596465	-8.0818E-05	-8.1288E-05
8437.087333	1318.084	0.000624008	-8.0818E-05	-8.1288E-05
8432.307333	1303.744	0.000624908	-8.0818E-05	-6.0899E-05
8441.864	1332.414	0.000623074	-8.0818E-05	-6.0899E-05
8441.864	1332.414	0.000623074	-8.0818E-05	-8.1288E-05
8462.346	1375.434	0.000679026	-8.1153E-05	-8.1624E-05
8470.537333	1418.434	0.000676292	-0.00010114	-8.1288E-05
8475.314	1432.764	0.000675392	-0.00010114	-8.1288E-05
8476.166	1432.764	0.000675392	-8.0818E-05	-8.1288E-05
8480.607333	1432.774	0.000704735	-0.000101408	-8.1624E-05
8485.890667	1432.784	0.000704735	-0.000101744	-8.1959E-05
8495.796	1475.784	0.000731344	-0.000101408	-8.1624E-05
8490.164	1461.444	0.000732244	-0.000101408	-8.1624E-05
8494.430667	1490.114	0.000701067	-0.00010114	-8.1288E-05
8503.987333	1518.784	0.000757953	-0.00010114	-8.1288E-05
