16-2				
p	q	astrain	rstrain1	rstrain2
5004.121767	8.7173	0	0	0
5014.0429	51.7647	2.6671E-05	3.35E-07	3.35E-07
5008.406933	37.4128	2.7569E-05	3.35E-07	3.35E-07
5024.109667	66.125	2.5673E-05	0	0
5023.610867	80.4686	5.414E-05	3.35E-07	-2.0027E-05
5028.893667	80.477	0.00005404	0	0
5032.326767	109.1723	8.1609E-05	3.35E-07	3.35E-07
5051.961433	152.2363	0.000108114	-2.0228E-05	-2.0362E-05
5042.393433	123.5323	8.0645E-05	0	-2.0362E-05
5043.245433	123.5323	8.0645E-05	0	-2.0362E-05
5052.813433	152.2363	0.000108114	-2.0228E-05	0
5056.745433	166.5883	0.000107216	0	-2.0362E-05
5056.745433	166.5883	0.000136481	0	-2.0362E-05
5062.038433	166.5973	0.000136382	-3.35E-07	-2.0697E-05
5066.313433	195.2923	0.000163951	0	-2.0362E-05
5067.165433	195.2923	0.000134685	0	-2.0362E-05
5075.881433	223.9963	0.000162155	-2.0228E-05	-2.0362E-05
5081.517433	238.3483	0.000161257	-2.0228E-05	0
5081.517433	238.3483	0.000190522	0	-2.0362E-05
5086.301433	252.7003	0.000189624	0	-2.0362E-05
5090.586433	281.3953	0.000187928	3.35E-07	-2.0027E-05
5095.017433	281.4043	0.000217093	-2.0228E-05	-2.0362E-05
5090.233433	267.0523	0.000188726	-2.0228E-05	-2.0362E-05
5099.801433	295.7563	0.00024546	-2.0228E-05	-2.0362E-05
5118.937433	353.1643	0.000241869	-2.0228E-05	-2.0362E-05
5129.3571	381.8673	0.000240073	-2.0228E-05	-2.0362E-05
5123.222433	381.8593	0.000269438	-0.000019893	-2.0027E-05
5128.5051	381.8673	0.000269371	-2.0228E-05	-2.0362E-05
5148.4931	439.2753	0.00026578	-2.0228E-05	-2.0362E-05
5152.4251	453.6273	0.000294147	-2.0228E-05	-2.0362E-05
5152.778433	467.9713	0.000322614	-0.000019893	-0.000040389
5161.494433	496.6753	0.000320818	-0.000019893	-0.000040389
5171.5611	511.0353	0.00031982	-2.0228E-05	-4.0724E-05
5180.6301	554.0823	0.000346491	-4.0187E-05	-0.000040389
5180.6301	554.0823	0.000346491	-0.000019893	-0.000040389
5196.3331	582.7953	0.000373861	-4.0522E-05	-4.0724E-05
5194.9821	597.1383	0.000373063	-4.0187E-05	-0.000040389
5200.2651	597.1473	0.000372963	-4.0522E-05	-4.0724E-05
5199.7661	611.4903	0.00040143	-4.0187E-05	-0.000040389
5204.5501	625.8423	0.000400532	-4.0187E-05	-0.000040389
5214.616767	640.2023	0.000399534	-4.0522E-05	-4.0724E-05
5214.616767	640.2023	0.000399534	-4.0522E-05	-4.0724E-05
5224.184767	668.9063	0.000427037	-4.0522E-05	-4.0724E-05
5233.752767	697.6103	0.000454506	-4.0522E-05	-4.0724E-05
5228.968767	683.2583	0.000426139	-4.0522E-05	-6.1085E-05
5223.6861	683.2503	0.000455504	-4.0187E-05	-0.000040389
5238.0381	726.3063	0.00045281	-4.0187E-05	-0.000040389
5239.388767	711.9623	0.000482873	-4.0522E-05	-4.0724E-05
5248.104767	740.6663	0.000481077	-4.0522E-05	-4.0724E-05
5234.604767	697.6103	0.000454506	-4.0522E-05	-4.0724E-05
5247.6061	755.0103	0.000509544	-4.0187E-05	-0.00006075
5248.104767	740.6663	0.000510342	-4.0522E-05	-4.0724E-05
5253.740767	755.0183	0.000509444	-4.0522E-05	-4.0724E-05
5262.456767	783.7223	0.000536914	-4.0522E-05	-6.1085E-05
5257.173767	783.7133	0.000537013	-4.0187E-05	-0.000040389
5257.173767	783.7133	0.000537013	-4.0187E-05	-0.000040389
